"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"220uf","desc","C8,","CASE-C_6032","libref","2","1","","",
"RESET","desc","SW1,","SW-BUTTON","libref","2","1","","",
"ESP32-WROOM-32D","desc","U4,","ESP32-WROOM-32","libref","39","1","","",
"SOT-223_AMS1117-3.3","desc","AMS1,","SOT-223","libref","4","1","","",
"0603_10uF__106_10%_10V","desc","C12,C9,","0603_C","libref","2","2","","",
"0603_100nF__104_10%_50V","desc","C14,C10,C13,C11,C7,","0603_C","libref","2","5","","",
"100nF","desc","C5,C2,","0603_C","libref","2","2","","",
"3216_10uF__106_10%_16V","desc","C6,","CASE-A_3216","libref","2","1","","",
"LOGO","desc","G***,","Homekit","libref","0","1","","",
"Conn_01x04","desc","J8,J3,","1.27-4P-SMD","libref","4","2","","",
"10uH","desc","L1,","0603_L","libref","2","1","","",
"0603_蓝灯","desc","L3,","0603_LED_S1","libref","2","1","","",
"0603_1KΩ__1001_1%","desc","R1,","0603_R","libref","2","1","","",
"0603_10KΩ__1002_1%","desc","R2,R4,","0603_R","libref","2","2","","",
"10K","desc","R3,","0603_R","libref","2","1","","",
"0603_100KΩ__1003_1%","desc","R5,","0603_R","libref","2","1","","",
"STM32F030C8Tx","desc","U1,","LQFP-48_7x7mm_P0.5mm","libref","48","1","","",
"ULN2001DS","desc","U2,","SOIC-8_150MIL","libref","8","1","","",
"Through Hole Items ",
"Fuse","desc","F1,","H-FKNP","libref","2","1","","",
"Conn_01x08","desc","J1,","PinHeader_2x04_P2.54mm_Vertical","libref","8","1","","",
"Conn_01x01","desc","J4,J7,J2,J5,J6,","PinHeader_1x01_P1.27mm_Vertical","libref","1","5","","",
"HF32F-G_HF49-G","desc","K1,K3,K2,","RELAY_HF49F_5.08","libref","5","3","","",
"HF32F-G_HF49-G","desc","K4,","HFS4-05D","libref","4","1","","",
"PRDZN-AC-DC-Converter_ACDC-1RELAY-rescue-1RELAY-rescue","desc","PS1,","PB5N-2025","libref","4","1","","",
"H3V4F","desc","U3,","H3V4F","libref","6","1","","",
